file, text_segment_size, instructions
file618, 1716, 970840634
file619, 3072, 1263552264
file620, 4543, 1511850034
file621, 2191, 988469843
file622, 1644, 1223381493
file623, 6093, 1737087727
file624, 150, 896180405
file625, 1907, 973345304
file626, 2209, 836821301
file627, 1363, 759800223
file628, 297, 689035075
file629, 66460, 1135583857
file630, 4256, 820855333
file631, 1677, 852121526
file632, 3984, 796268782
file633, 32405, 5371697863
file634, 1200, 726629375
file635, 16141, 1471714593
file636, 2131, 814537692
file637, 12442, 2731482608
file638, 7248, 637575250
file639, 3898, 907005909
file640, 573, 756411423
file641, 78423, 3398599991
file642, 813, 955464915
file643, 2246, 996476674
file644, 1712, 1028459703
file645, 702, 1027375685
file646, 3241, 1175449773
file647, 115, 927292070
file648, 626, 964283071
file649, 1025, 1052702302
file650, 2660, 1134348384
file651, 6747, 1436719197
file652, 7281, 1478545725
file653, 212, 960528311
file654, 3305, 1219359578
file655, 6265, 1610018236
file656, 7305, 2427829366
file657, 1480, 1003906744
file658, 672, 986597274
file659, 5927, 987538877
file660, 6188, 1325812608
file661, 13780, 2744017361
file662, 3241, 1183435887
file663, 3905, 1288540380
file664, 7129, 1655843424
file665, 6235, 1459084992
file666, 65, 909388150
file667, 6632, 1280263631
file668, 247, 965578135
file669, 3483, 1287151277
file670, 1212, 1026272979
file671, 26336, 2740798922
file672, 328, 930398629
file673, 7764, 2357828280
file674, 1395, 1026809149
file675, 187, 906752993
file676, 30190, 3239550387
file677, 78863, 10460441124
file678, 639, 950189902
file679, 9523, 1046412240
file680, 255, 922101433
file681, 90, 926065990
file682, 1722, 1082360201
file683, 1725, 1065576720
file684, 31900, 5285969399
file685, 5210, 979560880
file686, 1121, 1015004675
file687, 1523, 1145028706
file688, 4229, 1463030490
file689, 1411, 1116513847
file690, 275, 936060489
file691, 731, 923096825
file692, 2890, 1007873652
file693, 1665, 934355008
file694, 7541, 1680208541
file695, 1918, 931745069
file696, 1968, 1178932461
file697, 5293, 1186376027
file698, 758, 915807658
file699, 3036, 1279838358
file700, 2890, 1134861223
file701, 7225, 1899869985
file702, 1097, 955166847
file703, 705, 1017965049
file704, 97, 910954604
file705, 2958, 1260592670
file706, 125, 675525845
file707, 1109382, 150069569170
file708, 24010, 2132110889
file709, 1873, 720929393
file710, 7093, 1247341351
file711, 5533, 1372925572
file712, 20187, 3043609958
file713, 2195, 704593630
file714, 4048, 1556533803
file715, 1298, 813476377
file716, 661, 715493036
file717, 131, 683453774
file718, 625, 782601428
file719, 919, 803325177
file720, 18629, 2484807891
file721, 863, 981189711
file722, 8910, 1534415724
file723, 150, 963514570
file724, 12426, 2206134445
file725, 1593, 1110644029
file726, 452, 1024392834
file727, 284, 937416215
file728, 632, 969648063
file729, 234257, 25176350060
file730, 9107, 1713651402
file731, 19106, 2120064318
file732, 1273, 948243328
file733, 7716, 1923105993
file734, 369, 961726493
file735, 19182, 3730474506
file736, 8064, 1321407871
file737, 4270, 1143926393
file738, 2783, 1419638776
file739, 806, 946538020
file740, 681, 942879622
file741, 70, 934095612
file742, 4240, 1197685139
file743, 3525, 988010165
file744, 485, 922049163
file745, 504, 923914690
file746, 4594, 997963184
file747, 1070, 994839580
file748, 22041, 3544111941
file749, 18102, 2997320421
file750, 17685, 2237377665
file751, 4036, 1446629033
file752, 789, 994012226
file753, 4501, 1285932959
file754, 18061, 3343531930
file755, 802, 996147950
file756, 934, 988654194
file757, 12092, 1600875825
file758, 828, 1065603114
file759, 21751, 3618082333
