file, text_segment_size, instructions
file32553, 9560, 1914738834
file32554, 214676, 27632187244
file32555, 1689, 1087257455
file32556, 5889, 1536353331
file32557, 8223, 1805280053
file32558, 11133, 1909845250
file32559, 3228, 1459186835
file32560, 1194, 936867124
file32561, 594, 725567804
file32562, 51265, 9268486081
file32563, 80198, 10391126985
file32564, 940, 758907529
file32565, 10965, 1487432967
file32566, 165280, 15466046867
file32567, 1072, 785990876
file32568, 5995, 1274610669
file32569, 15200, 2476569185
file32570, 14391, 2061755945
file32571, 8116, 1408860600
file32572, 5666, 1587149624
file32573, 126683, 9592520398
file32574, 3467, 1169050849
file32575, 10972, 1381497467
file32576, 451, 745635230
file32577, 12635, 1619118923
file32578, 2701, 973576160
file32579, 915007, 72257698188
file32580, 8203, 1303460524
file32581, 5223, 1266609508
file32582, 1110, 775450887
file32583, 476058, 40785644903
file32584, 13035, 1855204753
file32585, 491, 714185774
file32586, 31367, 9601081748
file32587, 1387, 892863568
file32588, 3878, 1005654266
file32589, 7265, 1475721507
file32590, 3241, 1062262820
file32591, 52, 630446572
file32592, 114947, 15961133710
file32593, 561, 859720003
file32594, 62777, 7311595069
file32595, 33507, 5780768303
file32596, 36916, 4386482230
file32597, 2788, 945275485
file32598, 250, 694589537
file32599, 2043, 818963117
file32600, 452, 1017181595
file32601, 5687, 1172695857
file32602, 20356, 3398530097
file32603, 6840, 1748000536
file32604, 143702, 14091397808
file32605, 3635, 1102744561
file32606, 5349, 1348279389
file32607, 131243, 18343113514
file32608, 3455, 978880241
file32609, 78566, 12261393864
file32610, 143480, 16961117716
file32611, 147546, 13095205087
file32612, 16981, 3239952952
file32613, 1924, 864856250
file32614, 326, 1002303018
file32615, 33115, 3942932596
file32616, 29530, 4257234859
file32617, 31354, 5496498252
file32618, 27859, 3792141296
file32619, 4871, 1455303303
file32620, 79, 713680093
file32621, 21761, 2965881956
file32622, 33618, 3486938504
file32623, 35402, 6365637601
file32624, 3117, 1138801354
file32625, 33371, 6512238980
file32626, 1133, 833620931
file32627, 1087, 862511301
file32628, 80603, 13420573496
file32629, 9343, 2410068610
file32630, 176809, 36477170268
file32631, 8652, 2018286678
file32632, 8504, 1891323348
file32633, 10492, 2052274515
file32634, 53880, 7357558854
file32635, 7715, 1922840328
file32636, 174664, 19738513312
file32637, 6403, 1838334470
file32638, 20496, 3239252020
file32639, 67585, 11854740227
file32640, 26460, 3445687454
file32641, 7279, 1233713666
file32642, 17048, 2510427018
file32643, 2410, 978627106
file32644, 2234, 971998456
file32645, 20967, 2481027775
file32646, 6973, 1620527403
file32647, 3381, 1048796429
file32648, 249, 747142687
file32649, 233, 740498798
file32650, 47434, 6990446666
file32651, 43402, 2208888743
file32652, 109776, 10418103819
file32653, 63085, 6011985552
file32654, 11410, 1965317943
file32655, 1291, 803427452
file32656, 3436, 912842346
file32657, 406, 739362236
file32658, 4473, 1289594944
file32659, 11459, 1582494745
file32660, 4825, 1058790620
file32661, 19103, 2726140404
file32662, 5649, 1426808649
file32663, 5547, 1285869191
file32664, 1822, 907508358
file32665, 8682, 1395730412
file32666, 26682, 5036978272
file32667, 121180, 14893766945
file32668, 3260, 1043117894
file32669, 75297, 11218240279
file32670, 113843, 19871396808
file32671, 1930, 881207133
file32672, 1139, 888722698
file32673, 6441, 1122953712
