file754,18061,3175569304
file755,802,822912306
file756,934,814969032
file757,12092,1415162235
file758,828,891176881
file759,21751,3439733304
file760,103,780078400
file761,13108,960315139
file762,2195,1009838581
file763,3891,817438528
file764,16165,2627507070
file765,2885,908399273
file766,2021,1028277021
file767,6590,1642229415
file768,846,890313288
file769,2106,783359558
file770,2661,796707897
file771,1963,1002361231
file772,443,867804550
file773,1159,803081518
file774,31679,3607130262
file775,4276,1182246560
file776,19871,2612124446
file777,203,765561720
file778,3988,1267528370
file779,36207,7008108888
file780,756,902793726
file781,858,842370409
file782,4913,841769192
file783,4875,1455770938
file784,5512,1438675432
file785,3307,996797264
file786,692,743704431
file787,233,690157802
file788,7684,783988732
file789,554,684987956
file790,264,743912486
file791,1320,807847110
file792,2813,713299585
file793,12258,1985184288
file794,13643,2576740259
file795,1440,682984211
file796,1652,695159678
file797,11512,3072577896
file798,5205,1223149296
file799,4234,1290517464
file800,1369,688839496
file801,275,801188782
file802,554,858575603
file803,765,815180999
file804,1456,950707175
